lemma,inflect_type,pos,case,form
avaldaja,1,S,sg n,avaldaja
avaldaja,1,S,sg g,avaldaja
avaldatu,1,S,sg n,avaldatu
avaldatu,1,S,sg g,avaldatu
Avanduse,1,H,sg n,Avanduse
Avanduse,1,H,sg g,Avanduse
avardi,1,S,sg n,avardi
avardi,1,S,sg g,avardi
avariitu,1,A,sg n,avariitu
avariitu,1,A,sg g,avariitu
Avaste,1,H,sg n,Avaste
Avaste,1,H,sg g,Avaste
avatleja,1,S,sg n,avatleja
avatleja,1,S,sg g,avatleja
avitaja,1,S,sg n,avitaja
avitaja,1,S,sg g,avitaja
Bahama,1,H,sg n,Bahama
Bahama,1,H,sg g,Bahama
bakterioloogia,1,S,sg n,bakterioloogia
bakterioloogia,1,S,sg g,bakterioloogia
balkanistika,1,S,sg n,balkanistika
balkanistika,1,S,sg g,balkanistika
ballistika,1,S,sg n,ballistika
ballistika,1,S,sg g,ballistika
Baltika,1,H,sg n,Baltika
Baltika,1,H,sg g,Baltika
baltistika,1,S,sg n,baltistika
baltistika,1,S,sg g,baltistika
bangalo,1,S,sg n,bangalo
bangalo,1,S,sg g,bangalo
Baranova,1,H,sg n,Baranova
Baranova,1,H,sg g,Baranova
Barbara,1,H,sg n,Barbara
Barbara,1,H,sg g,Barbara
Barentsi,1,H,sg n,Barentsi
Barentsi,1,H,sg g,Barentsi
basiilika,1,S,sg n,basiilika
basiilika,1,S,sg g,basiilika
Baškiiria,1,H,sg n,Baškiiria
Baškiiria,1,H,sg g,Baškiiria
batika,1,S,sg n,batika
batika,1,S,sg g,batika
batjuška,1,S,sg n,batjuška
batjuška,1,S,sg g,batjuška
Batumi,1,H,sg n,Batumi
Batumi,1,H,sg g,Batumi
begoonia,1,S,sg n,begoonia
begoonia,1,S,sg g,begoonia
Beljajeva,1,H,sg n,Beljajeva
Beljajeva,1,H,sg g,Beljajeva
belletristika,1,S,sg n,belletristika
belletristika,1,S,sg g,belletristika
bergeenia,1,S,sg n,bergeenia
bergeenia,1,S,sg g,bergeenia
Bermuda,1,H,sg n,Bermuda
Bermuda,1,H,sg g,Bermuda
bestia,1,S,sg n,bestia
bestia,1,S,sg g,bestia
bibliofiilia,1,S,sg n,bibliofiilia
bibliofiilia,1,S,sg g,bibliofiilia
bibliomeetria,1,S,sg n,bibliomeetria
bibliomeetria,1,S,sg g,bibliomeetria
bigaamia,1,S,sg n,bigaamia
bigaamia,1,S,sg g,bigaamia
bioloogia,1,S,sg n,bioloogia
bioloogia,1,S,sg g,bioloogia
biomeetria,1,S,sg n,biomeetria
biomeetria,1,S,sg g,biomeetria
bioonika,1,S,sg n,bioonika
bioonika,1,S,sg g,bioonika
biopsia,1,S,sg n,biopsia
biopsia,1,S,sg g,biopsia
bistro,1,S,sg n,bistro
bistro,1,S,sg g,bistro
blasfeemia,1,S,sg n,blasfeemia
blasfeemia,1,S,sg g,blasfeemia
Bogdanova,1,H,sg n,Bogdanova
Bogdanova,1,H,sg g,Bogdanova
Boliivia,1,H,sg n,Boliivia
Boliivia,1,H,sg g,Boliivia
Bolivia,1,H,sg n,Bolivia
Bolivia,1,H,sg g,Bolivia
boolero,1,S,sg n,boolero
boolero,1,S,sg g,boolero
botaanika,1,S,sg n,botaanika
botaanika,1,S,sg g,botaanika
Brasiilia,1,H,sg n,Brasiilia
Brasiilia,1,H,sg g,Brasiilia
Brasilia,1,H,sg n,Brasilia
Brasilia,1,H,sg g,Brasilia
Brasília,1,H,sg n,Brasília
Brasília,1,H,sg g,Brasília
Britannia,1,H,sg n,Britannia
Britannia,1,H,sg g,Britannia
brokoli,1,S,sg n,brokoli
brokoli,1,S,sg g,brokoli
bronhoskoopia,1,S,sg n,bronhoskoopia
bronhoskoopia,1,S,sg g,bronhoskoopia
brüoloogia,1,S,sg n,brüoloogia
brüoloogia,1,S,sg g,brüoloogia
budoloogia,1,S,sg n,budoloogia
budoloogia,1,S,sg g,budoloogia
bukoolika,1,S,sg n,bukoolika
bukoolika,1,S,sg g,bukoolika
Bulgaaria,1,H,sg n,Bulgaaria
Bulgaaria,1,H,sg g,Bulgaaria
buliimia,1,S,sg n,buliimia
buliimia,1,S,sg g,buliimia
Burgundia,1,H,sg n,Burgundia
Burgundia,1,H,sg g,Burgundia
Burjaatia,1,H,sg n,Burjaatia
Burjaatia,1,H,sg g,Burjaatia
buržuaasia,1,S,sg n,buržuaasia
buržuaasia,1,S,sg g,buržuaasia
Burundi,1,H,sg n,Burundi
Burundi,1,H,sg g,Burundi
butafooria,1,S,sg n,butafooria
butafooria,1,S,sg g,butafooria
Cagliari,1,H,sg n,Cagliari
Cagliari,1,H,sg g,Cagliari
Calgary,1,H,sg n,Calgary
Calgary,1,H,sg g,Calgary
California,1,H,sg n,California
California,1,H,sg g,California
Canberra,1,H,sg n,Canberra
Canberra,1,H,sg g,Canberra
Cicero,1,H,sg n,Cicero
Cicero,1,H,sg g,Cicero
Colima,1,H,sg n,Colima
Colima,1,H,sg g,Colima
Colombia,1,H,sg n,Colombia
Colombia,1,H,sg g,Colombia
Colombo,1,H,sg n,Colombo
Colombo,1,H,sg g,Colombo
Colorado,1,H,sg n,Colorado
Colorado,1,H,sg g,Colorado
Conakry,1,H,sg n,Conakry
Conakry,1,H,sg g,Conakry
Cordoba,1,H,sg n,Cordoba
Cordoba,1,H,sg g,Cordoba
Covery,1,H,sg n,Covery
Covery,1,H,sg g,Covery
Cybernetica,1,H,sg n,Cybernetica
Cybernetica,1,H,sg g,Cybernetica
daalia,1,S,sg n,daalia
daalia,1,S,sg g,daalia
dagerrotüüpia,1,S,sg n,dagerrotüüpia
dagerrotüüpia,1,S,sg g,dagerrotüüpia
daktüloloogia,1,S,sg n,daktüloloogia
daktüloloogia,1,S,sg g,daktüloloogia
dammara,1,S,sg n,dammara
dammara,1,S,sg g,dammara
Danilova,1,H,sg n,Danilova
Danilova,1,H,sg g,Danilova
Daugava,1,H,sg n,Daugava
Daugava,1,H,sg g,Daugava
defektoloogia,1,S,sg n,defektoloogia
defektoloogia,1,S,sg g,defektoloogia
deklameerija,1,S,sg n,deklameerija
deklameerija,1,S,sg g,deklameerija
